movie_name,days_from_release,date,box_office_collection
Luka Chuppi,Day 1,2019-03-01,80100000
Luka Chuppi,Day 2,2019-03-02,100800000
Luka Chuppi,Day 3,2019-03-03,140400000
Luka Chuppi,Day 4,2019-03-04,79000000
Luka Chuppi,Day 5,2019-03-05,50400000
Luka Chuppi,Day 6,2019-03-06,46000000
Luka Chuppi,Day 7,2019-03-07,40300000
Luka Chuppi,Day 8,2019-03-08,31500000
Luka Chuppi,Day 9,2019-03-09,52000000
Luka Chuppi,Day 10,2019-03-10,53100000
Luka Chuppi,Day 11,2019-03-11,20500000
Luka Chuppi,Day 12,2019-03-12,20700000
Luka Chuppi,Day 13,2019-03-13,19600000
Luka Chuppi,Day 14,2019-03-14,18000000
Luka Chuppi,Day 15,2019-03-15,16200001
Luka Chuppi,Day 16,2019-03-16,22500000
Luka Chuppi,Day 17,2019-03-17,34000000
Luka Chuppi,Day 18,2019-03-18,13300000
Luka Chuppi,Day 19,2019-03-19,13500000
Luka Chuppi,Day 20,2019-03-20,11700000
Luka Chuppi,Day 21,2019-03-21,6300000
Luka Chuppi,Day 22,2019-03-22,6100000
Luka Chuppi,Day 23,2019-03-23,8100001
Luka Chuppi,Day 24,2019-03-24,9700000
Luka Chuppi,Day 25,2019-03-25,4300000
Luka Chuppi,Day 26,2019-03-26,3600000
Luka Chuppi,Day 27,2019-03-27,4300000
Luka Chuppi,Day 28,2019-03-28,4300000
Luka Chuppi,Day 29,2019-03-29,2500000
Luka Chuppi,Day 30,2019-03-30,3400001
Luka Chuppi,Day 31,2019-03-31,4300000
Luka Chuppi,Day 32,2019-04-01,1800000
Luka Chuppi,Day 33,2019-04-02,1600000
Luka Chuppi,Day 34,2019-04-03,1600000
Luka Chuppi,Day 35,2019-04-04,1800000
Luka Chuppi,Day 36 - Day 42,2019-04-05 to 2019-04-11,9700000
Luka Chuppi,Day 43 - Day 45,2019-04-12 to 2019-04-14,4500000
Luka Chuppi,Day 46 - Day 49,2019-04-15 to 2019-04-18,5000000
Luka Chuppi,Day 50 - Day 56,2019-04-19 to 2019-04-25,800000
Luka Chuppi,Day 57 - Day 63,2019-04-26 to 2019-05-02,200000
Badla,Day 1,2019-03-08,50400000
Badla,Day 2,2019-03-09,85500000
Badla,Day 3,2019-03-10,96100000
Badla,Day 4,2019-03-11,37500000
Badla,Day 5,2019-03-12,38500000
Badla,Day 6,2019-03-13,35500000
Badla,Day 7,2019-03-14,36500000
Badla,Day 8,2019-03-15,40500000
Badla,Day 9,2019-03-16,67000000
Badla,Day 10,2019-03-17,82200000
Badla,Day 11,2019-03-18,28000000
Badla,Day 12,2019-03-19,26000000
Badla,Day 13,2019-03-20,26000000
Badla,Day 14,2019-03-21,23500000
Badla,Day 15,2019-03-22,20700000
Badla,Day 16,2019-03-23,26500000
Badla,Day 17,2019-03-24,27500000
Badla,Day 18,2019-03-25,10000000
Badla,Day 19,2019-03-26,9000000
Badla,Day 20,2019-03-27,9000000
Badla,Day 21,2019-03-28,8500000
Badla,Day 22,2019-03-29,7000000
Badla,Day 23,2019-03-30,12000000
Badla,Day 24,2019-03-31,14500000
Badla,Day 25,2019-04-01,5500000
Badla,Day 26,2019-04-02,5000000
Badla,Day 27,2019-04-03,4500000
Badla,Day 28,2019-04-04,4000000
Badla,Day 29,2019-04-05,3000000
Badla,Day 30,2019-04-06,5500000
Badla,Day 31,2019-04-07,7200000
Badla,Day 32,2019-04-08,2000000
Badla,Day 33,2019-04-09,2000000
Badla,Day 34,2019-04-10,2000000
Badla,Day 35,2019-04-11,2000000
Badla,Day 36,2019-04-12,2000000
Badla,Day 37,2019-04-13,3600000
Badla,Day 38,2019-04-14,4500000
Badla,Day 39,2019-04-15,2000000
Badla,Day 40,2019-04-16,2000000
Badla,Day 41,2019-04-17,1500000
Badla,Day 42,2019-04-18,1000000
Badla,Day 43 - Day 45,2019-04-19 to 2019-04-21,3000000
Badla,Day 46 - Day 49,2019-04-22 to 2019-04-25,1500000
Badla,Day 50 - Day 56,2019-04-26 to 2019-05-02,1000000
Badla,Day 57 - Day 63,2019-05-03 to 2019-05-09,200000
Kesari,Day 1,2019-03-21,210600000
Kesari,Day 2,2019-03-22,167500000
Kesari,Day 3,2019-03-23,187500000
Kesari,Day 4,2019-03-24,215100001
Kesari,Day 5,2019-03-25,82500000
Kesari,Day 6,2019-03-26,71700000
Kesari,Day 7,2019-03-27,65200000
Kesari,Day 8,2019-03-28,58500000
Kesari,Day 9,2019-03-29,44500000
Kesari,Day 10,2019-03-30,64500000
Kesari,Day 11,2019-03-31,82500000
Kesari,Day 12,2019-04-01,32700000
Kesari,Day 13,2019-04-02,27500000
Kesari,Day 14,2019-04-03,24200000
Kesari,Day 15,2019-04-04,20700000
Kesari,Day 16,2019-04-05,16500000
Kesari,Day 17,2019-04-06,26200000
Kesari,Day 18,2019-04-07,32300000
Kesari,Day 19,2019-04-08,12000000
Kesari,Day 20,2019-04-09,10200000
Kesari,Day 21,2019-04-10,10200000
Kesari,Day 22,2019-04-11,9500000
Kesari,Day 23,2019-04-12,7000000
Kesari,Day 24,2019-04-13,13000000
Kesari,Day 25,2019-04-14,17000000
Kesari,Day 26,2019-04-15,5500000
Kesari,Day 27,2019-04-16,5000000
Kesari,Day 28,2019-04-17,4000000
Kesari,Day 29,2019-04-18,3000000
Kesari,Day 30,2019-04-19,2500000
Kesari,Day 31,2019-04-20,3200000
Kesari,Day 32,2019-04-21,4500000
Kesari,Day 33,2019-04-22,1500000
Kesari,Day 34,2019-04-23,1400001
Kesari,Day 35,2019-04-24,1000000
Kesari,Day 36,2019-04-25,1000000
Kesari,Day 37 - Day 43,2019-04-26 to 2019-05-02,4000000
Kesari,Day 44 - Day 50,2019-05-03 to 2019-05-09,200000
Kesari,Day 51 - Day 57,2019-05-10 to 2019-05-16,100000
Gully Boy,Day 1,2019-02-14,194000000
Gully Boy,Day 2,2019-02-15,131000000
Gully Boy,Day 3,2019-02-16,186500000
Gully Boy,Day 4,2019-02-17,213000000
Gully Boy,Day 5,2019-02-18,86500000
Gully Boy,Day 6,2019-02-19,80500000
Gully Boy,Day 7,2019-02-20,60500000
Gully Boy,Day 8,2019-02-21,51000000
Gully Boy,Day 9,2019-02-22,39000000
Gully Boy,Day 10,2019-02-23,70500000
Gully Boy,Day 11,2019-02-24,71000000
Gully Boy,Day 12,2019-02-25,24500000
Gully Boy,Day 13,2019-02-26,23000000
Gully Boy,Day 14,2019-02-27,21000000
Gully Boy,Day 15,2019-02-28,19000000
Gully Boy,Day 16,2019-03-01,11800000
Gully Boy,Day 17,2019-03-02,21000000
Gully Boy,Day 18,2019-03-03,25500000
Gully Boy,Day 19,2019-03-04,12800000
Gully Boy,Day 20,2019-03-05,6500000
Gully Boy,Day 21,2019-03-06,6000000
Gully Boy,Day 22,2019-03-07,5500000
Gully Boy,Day 23,2019-03-08,3500000
Gully Boy,Day 24,2019-03-09,5700000
Gully Boy,Day 25,2019-03-10,6500000
Gully Boy,Day 26,2019-03-11,2500000
Gully Boy,Day 27,2019-03-12,2000000
Gully Boy,Day 28,2019-03-13,2000000
Gully Boy,Day 29,2019-03-14,2000000
Gully Boy,Day 30,2019-03-15,1500000
Gully Boy,Day 31,2019-03-16,2500000
Gully Boy,Day 32,2019-03-17,3200000
Gully Boy,Day 33,2019-03-18,1200000
Gully Boy,Day 34,2019-03-19,1200000
Gully Boy,Day 35,2019-03-20,1100000
Gully Boy,Day 36,2019-03-21,1000000
Gully Boy,Day 37 - Day 43,2019-03-22 to 2019-03-28,3300000
Gully Boy,Day 44 - Day 50,2019-03-29 to 2019-04-04,1900000
Gully Boy,Day 51 - Day 57,2019-04-05 to 2019-04-11,900000
Gully Boy,Day 58 - Day 64,2019-04-12 to 2019-04-18,400000
Total Dhamaal,Day 1,2019-02-22,165000000
Total Dhamaal,Day 2,2019-02-23,204000000
Total Dhamaal,Day 3,2019-02-24,255000000
Total Dhamaal,Day 4,2019-02-25,98500000
Total Dhamaal,Day 5,2019-02-26,87500000
Total Dhamaal,Day 6,2019-02-27,70500000
Total Dhamaal,Day 7,2019-02-28,65000000
Total Dhamaal,Day 8,2019-03-01,47500000
Total Dhamaal,Day 9,2019-03-02,70200000
Total Dhamaal,Day 10,2019-03-03,114500000
Total Dhamaal,Day 11,2019-03-04,60300000
Total Dhamaal,Day 12,2019-03-05,32000000
Total Dhamaal,Day 13,2019-03-06,30000000
Total Dhamaal,Day 14,2019-03-07,26000000
Total Dhamaal,Day 15,2019-03-08,17000000
Total Dhamaal,Day 16,2019-03-09,27600000
Total Dhamaal,Day 17,2019-03-10,39500000
Total Dhamaal,Day 18,2019-03-11,14000000
Total Dhamaal,Day 19,2019-03-12,11500000
Total Dhamaal,Day 20,2019-03-13,11000000
Total Dhamaal,Day 21,2019-03-14,10500000
Total Dhamaal,Day 22,2019-03-15,9500000
Total Dhamaal,Day 23,2019-03-16,16000000
Total Dhamaal,Day 24,2019-03-17,25000000
Total Dhamaal,Day 25,2019-03-18,4000000
Total Dhamaal,Day 26,2019-03-19,3000000
Total Dhamaal,Day 27,2019-03-20,3000000
Total Dhamaal,Day 28,2019-03-21,3000000
Total Dhamaal,Day 29,2019-03-22,3000000
Total Dhamaal,Day 30,2019-03-23,4000000
Total Dhamaal,Day 31,2019-03-24,5000000
Total Dhamaal,Day 32,2019-03-25,800000
Total Dhamaal,Day 33,2019-03-26,800000
Total Dhamaal,Day 34,2019-03-27,800000
Total Dhamaal,Day 35,2019-03-28,800000
Total Dhamaal,Day 36 - Day 42,2019-03-29 to 2019-04-04,3900000
Total Dhamaal,Day 43 - Day 49,2019-04-05 to 2019-04-11,1800000
Total Dhamaal,Day 50 - Day 56,2019-04-12 to 2019-04-18,800000
